date_time,water_level,prediction
2024-09-25T00:00:00Z,0.335,-0.649
2024-09-25T00:06:00Z,0.358,-0.638
2024-09-25T00:12:00Z,0.387,-0.626
2024-09-25T00:18:00Z,0.384,-0.615
2024-09-25T00:24:00Z,0.433,-0.603
2024-09-25T00:30:00Z,0.446,-0.591
2024-09-25T00:36:00Z,0.446,-0.579
2024-09-25T00:42:00Z,0.469,-0.568
2024-09-25T00:48:00Z,0.469,-0.556
2024-09-25T00:54:00Z,0.486,-0.545
2024-09-25T01:00:00Z,0.499,-0.533
2024-09-25T01:06:00Z,0.509,-0.522
2024-09-25T01:12:00Z,0.522,-0.511
2024-09-25T01:18:00Z,0.541,-0.501
2024-09-25T01:24:00Z,0.558,-0.49
2024-09-25T01:30:00Z,0.581,-0.48
2024-09-25T01:36:00Z,0.607,-0.47
2024-09-25T01:42:00Z,0.623,-0.46
2024-09-25T01:48:00Z,0.656,-0.45
2024-09-25T01:54:00Z,0.696,-0.441
2024-09-25T02:00:00Z,0.699,-0.431
2024-09-25T02:06:00Z,0.709,-0.422
2024-09-25T02:12:00Z,0.732,-0.413
2024-09-25T02:18:00Z,0.735,-0.403
2024-09-25T02:24:00Z,0.735,-0.394
2024-09-25T02:30:00Z,0.722,-0.384
2024-09-25T02:36:00Z,0.719,-0.374
2024-09-25T02:42:00Z,0.728,-0.364
2024-09-25T02:48:00Z,0.725,-0.353
2024-09-25T02:54:00Z,0.715,-0.342
2024-09-25T03:00:00Z,0.722,-0.331
2024-09-25T03:06:00Z,0.722,-0.319
2024-09-25T03:12:00Z,0.725,-0.306
2024-09-25T03:18:00Z,0.725,-0.292
2024-09-25T03:24:00Z,0.722,-0.278
2024-09-25T03:30:00Z,0.728,-0.263
2024-09-25T03:36:00Z,0.732,-0.247
2024-09-25T03:42:00Z,0.732,-0.231
2024-09-25T03:48:00Z,0.735,-0.214
2024-09-25T03:54:00Z,0.745,-0.196
2024-09-25T04:00:00Z,0.745,-0.178
2024-09-25T04:06:00Z,0.761,-0.159
2024-09-25T04:12:00Z,0.778,-0.14
2024-09-25T04:18:00Z,0.787,-0.12
2024-09-25T04:24:00Z,0.81,-0.1
2024-09-25T04:30:00Z,0.84,-0.08
2024-09-25T04:36:00Z,0.863,-0.06
2024-09-25T04:42:00Z,0.889,-0.04
2024-09-25T04:48:00Z,0.922,-0.021
2024-09-25T04:54:00Z,0.948,-0.002
2024-09-25T05:00:00Z,0.974,0.016
2024-09-25T05:06:00Z,0.997,0.034
2024-09-25T05:12:00Z,1.014,0.051
2024-09-25T05:18:00Z,1.033,0.067
2024-09-25T05:24:00Z,1.037,0.082
2024-09-25T05:30:00Z,1.04,0.095
2024-09-25T05:36:00Z,1.04,0.108
2024-09-25T05:42:00Z,1.033,0.119
2024-09-25T05:48:00Z,1.024,0.129
2024-09-25T05:54:00Z,1.014,0.138
2024-09-25T06:00:00Z,1.01,0.145
2024-09-25T06:06:00Z,1.007,0.152
2024-09-25T06:12:00Z,1.001,0.157
2024-09-25T06:18:00Z,1.004,0.161
2024-09-25T06:24:00Z,1.007,0.164
2024-09-25T06:30:00Z,1.01,0.166
2024-09-25T06:36:00Z,1.02,0.167
2024-09-25T06:42:00Z,1.04,0.167
2024-09-25T06:48:00Z,1.06,0.167
2024-09-25T06:54:00Z,1.086,0.166
2024-09-25T07:00:00Z,1.109,0.164
2024-09-25T07:06:00Z,1.138,0.162
2024-09-25T07:12:00Z,1.178,0.159
2024-09-25T07:18:00Z,1.217,0.157
2024-09-25T07:24:00Z,1.247,0.153
2024-09-25T07:30:00Z,1.273,0.15
2024-09-25T07:36:00Z,1.302,0.146
2024-09-25T07:42:00Z,1.322,0.142
2024-09-25T07:48:00Z,1.348,0.138
2024-09-25T07:54:00Z,1.371,0.134
2024-09-25T08:00:00Z,1.388,0.129
2024-09-25T08:06:00Z,1.398,0.123
2024-09-25T08:12:00Z,1.398,0.118
2024-09-25T08:18:00Z,1.398,0.111
2024-09-25T08:24:00Z,1.391,0.104
2024-09-25T08:30:00Z,1.385,0.097
2024-09-25T08:36:00Z,1.365,0.088
2024-09-25T08:42:00Z,1.335,0.079
2024-09-25T08:48:00Z,1.319,0.068
2024-09-25T08:54:00Z,1.296,0.057
2024-09-25T09:00:00Z,1.27,0.045
2024-09-25T09:06:00Z,1.234,0.031
2024-09-25T09:12:00Z,1.198,0.016
2024-09-25T09:18:00Z,1.165,0
2024-09-25T09:24:00Z,1.132,-0.018
2024-09-25T09:30:00Z,1.119,-0.036
2024-09-25T09:36:00Z,1.073,-0.056
2024-09-25T09:42:00Z,1.037,-0.078
2024-09-25T09:48:00Z,1.014,-0.1
2024-09-25T09:54:00Z,0.991,-0.124
2024-09-25T10:00:00Z,0.974,-0.149
2024-09-25T10:06:00Z,0.942,-0.176
2024-09-25T10:12:00Z,0.922,-0.203
2024-09-25T10:18:00Z,0.889,-0.231
2024-09-25T10:24:00Z,0.853,-0.261
2024-09-25T10:30:00Z,0.81,-0.291
2024-09-25T10:36:00Z,0.791,-0.322
2024-09-25T10:42:00Z,0.761,-0.354
2024-09-25T10:48:00Z,0.715,-0.386
2024-09-25T10:54:00Z,0.689,-0.42
2024-09-25T11:00:00Z,0.659,-0.453
2024-09-25T11:06:00Z,0.627,-0.487
2024-09-25T11:12:00Z,0.587,-0.522
2024-09-25T11:18:00Z,0.551,-0.557
2024-09-25T11:24:00Z,0.515,-0.592
2024-09-25T11:30:00Z,0.479,-0.628
2024-09-25T11:36:00Z,0.44,-0.664
2024-09-25T11:42:00Z,0.4,-0.7
2024-09-25T11:48:00Z,0.348,-0.737
2024-09-25T11:54:00Z,0.318,-0.774
2024-09-25T12:00:00Z,0.282,-0.811
2024-09-25T12:06:00Z,0.24,-0.848
2024-09-25T12:12:00Z,0.194,-0.885
2024-09-25T12:18:00Z,0.128,-0.923
2024-09-25T12:24:00Z,0.082,-0.961
2024-09-25T12:30:00Z,0.033,-0.999
2024-09-25T12:36:00Z,-0.026,-1.038
2024-09-25T12:42:00Z,-0.089,-1.077
2024-09-25T12:48:00Z,-0.131,-1.116
2024-09-25T12:54:00Z,-0.2,-1.155
2024-09-25T13:00:00Z,-0.233,-1.195
2024-09-25T13:06:00Z,-0.285,-1.235
2024-09-25T13:12:00Z,-0.328,-1.275
2024-09-25T13:18:00Z,-0.381,-1.316
2024-09-25T13:24:00Z,-0.41,-1.357
2024-09-25T13:30:00Z,-0.436,-1.398
2024-09-25T13:36:00Z,-0.479,-1.439
2024-09-25T13:42:00Z,-0.528,-1.48
2024-09-25T13:48:00Z,-0.554,-1.522
2024-09-25T13:54:00Z,-0.594,-1.563
2024-09-25T14:00:00Z,-0.63,-1.605
2024-09-25T14:06:00Z,-0.666,-1.646
2024-09-25T14:12:00Z,-0.722,-1.687
2024-09-25T14:18:00Z,-0.751,-1.728
2024-09-25T14:24:00Z,-0.751,-1.768
2024-09-25T14:30:00Z,-0.774,-1.808
2024-09-25T14:36:00Z,-0.81,-1.847
2024-09-25T14:42:00Z,-0.807,-1.886
2024-09-25T14:48:00Z,-0.843,-1.923
2024-09-25T14:54:00Z,-0.922,-1.959
2024-09-25T15:00:00Z,-0.945,-1.994
2024-09-25T15:06:00Z,-0.945,-2.028
2024-09-25T15:12:00Z,-1.024,-2.059
2024-09-25T15:18:00Z,-1.112,-2.09
2024-09-25T15:24:00Z,-1.122,-2.118
2024-09-25T15:30:00Z,-1.125,-2.145
2024-09-25T15:36:00Z,-1.184,-2.169
2024-09-25T15:42:00Z,-1.243,-2.191
2024-09-25T15:48:00Z,-1.243,-2.211
2024-09-25T15:54:00Z,-1.25,-2.228
2024-09-25T16:00:00Z,-1.273,-2.243
2024-09-25T16:06:00Z,-1.26,-2.256
